date,country,node,geoNode,status,nodeType,voltage,activeLoad,reactiveLoad,activePowerMW,reactivePowerMVar,minGenMW,maxGenMWminGenVar,maxGenVar,primCtrl%,nomPowerPrimCtrlMW,shortCircuitPowerMVar,XR_Ratio,plantType
2007-05-01,IT,ICMPTA22,CAMPOROSSO,0,0,237.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICDLN111,CANDELA,0,2,397.04,0.0,0.0,-353.2,-17.9,-192.8,-390.0,129.9,-290.0,4.3,390.0,,,
2007-05-01,IT,ICANR111,CANDIA,0,0,400.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICANR11M,CANDIA,0,0,400.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICANR11N,CANDIA,0,0,400.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICANR311,CANDIA,0,0,400.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICANRA11,CANDIA,0,0,400.65,120.2,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICANR12Z,CANDIA,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICANRA2Z,CANDIA,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICAOM111,CAORSO,0,0,408.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICAPN121,CAPRIATI,0,0,228.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICARV121,CARDANO,0,0,229.55,-41.5,-62.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICRCV121,CARDANO CE,0,0,229.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICRCV122,CARDANO CE,0,0,229.55,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICAKV121,CARDANO NK,0,0,228.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICFOF111,CARPI FOSS,0,0,407.66,161.7,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICLNN111,CAS/ETA380,0,0,397.39,-1.4,-11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICSVN121,CASALNUOVO,0,0,229.72,27.9,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICSNT111,CASANOVA,0,0,405.46,150.9,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICSNT121,CASANOVA,0,0,232.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICSNT12M,CASANOVA,0,0,234.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ILCZM11Z,CASELLA ST,0,0,400.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ILCZMA11,CASELLA ST,0,0,407.60,11.1,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICSLFA11,CASELLINA,0,0,406.75,100.6,84.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICSRN121,CASORIA,0,0,229.48,73.8,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICS2N121,CASORIA 2,0,0,229.86,21.3,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICSSM111,CASSANO,0,0,413.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICSSM211,CASSANO,0,0,413.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICSSM311,CASSANO,0,0,413.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICSSM12Z,CASSANO,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICSSM221,CASSANO,0,0,241.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICSSMA21,CASSANO,0,0,241.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICSAMA21,CASSANO CS,0,0,238.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICAGV121,CASTEGNERO,0,0,235.10,21.5,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICBEV121,CASTELBELL,0,2,242.32,13.2,12.9,-23.4,-4.5,0.0,-72.0,48.0,-77.5,6.0,72.0,,,
2007-05-01,IT,ICASN121,CASTELL.,0,0,229.90,85.5,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICTNT111,CASTELN.S,0,0,406.49,130.6,-12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICAVV121,CAVILLA,0,2,233.93,0.0,0.0,-5.0,6.2,-6.0,-24.0,22.0,-32.0,4.0,24.0,,,
2007-05-01,IT,ICVAV121,CAVILLA NK,0,0,233.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICDGM121,CEDEG. SUD,0,0,230.57,-37.2,85.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICMDN121,CEMENT.MAD,0,0,229.39,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICTEN12Z,CEN.EN.TEV,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICEPR111,CEPAGATTI,0,0,392.23,0.0,-283.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICEPR211,CEPAGATTI,0,0,392.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICEPR121,CEPAGATTI,0,0,184.25,612.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICEPR22Z,CEPAGATTI,0,0,205.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICPNR111,CEPRANO380,0,0,396.86,144.6,-15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICESMA21,CESANO M.,0,0,233.04,-0.2,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICHZT121,CHATILL.SE,0,0,236.31,36.7,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICHRM111,CHIARI ST,0,0,413.31,145.5,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICHPM111,CHIGNOLO,0,0,408.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICHTT111,CHIVAS. CE,0,2,406.45,0.0,0.0,-727.1,-65.3,-492.0,-860.0,275.3,-528.2,5.0,861.0,,,
2007-05-01,IT,ICHTT121,CHIVAS. CE,0,2,231.31,0.0,0.0,-260.5,106.6,-245.0,-412.0,237.3,-450.8,5.0,412.0,,,
2007-05-01,IT,ICHIT111,CHIVASSO S,0,0,406.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICIMVA21,CIMEGO,0,0,234.43,0.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICICV121,CIMEGO CE,0,0,234.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICICV221,CIMEGO CE,0,0,234.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICSEM111,CISERANO,0,0,408.10,350.8,-15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICISM111,CISLAGO,0,0,411.73,163.4,33.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICISMB21,CISLAGO,0,0,239.52,86.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ICITV121,CITTADELLA,0,0,234.61,34.0,-3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,ISNDTA2Z,COFELY SET,0,0,220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IDEAT121,COGNE IC,0,0,237.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,IT,IDELT121,COGNE UT,0,0,237.45,49.6,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
