date,country,node,geoNode,status,nodeType,voltage,activeLoad,reactiveLoad,activePowerMW,reactivePowerMVar,minGenMW,maxGenMWminGenVar,maxGenVar,primCtrl%,nomPowerPrimCtrlMW,shortCircuitPowerMVar,XR_Ratio,plantType
2007-05-01,PT,PRECAR11,RECAREI,0,0,392.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PRECAR12,RECAREI,0,0,392.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PV.N.F11,V.N.FAMA,0,0,392.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PLAVOS11,LAVOS,0,2,400.0,59.5,18.1,-348.9,-24.3,0.0,-870.0,270.0,-510.0,,,,,
2007-05-01,PT,PDIVOR11,DIVOR,0,0,404.3,10.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PA.LIN11,A.LINDOSO,0,2,387.7,0.0,0.0,-19.6,-139.3,0.0,-315.0,100.0,-150.0,,,,,
2007-05-01,PT,PALCOC11,ALCOCHETE,0,0,401.5,48.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PFALAG11,FALAGUEIRA,0,0,402.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPEGOE11,PEGOES,0,0,402.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPEGO_11,PEGO,0,2,400.0,0.0,0.0,-735.0,176.3,0.0,-838.0,270.0,-510.0,,,,,
2007-05-01,PT,PRIBAT11,RIBATEJO,0,2,400.0,0.0,0.0,-678.2,137.7,0.0,-784.0,260.0,-300.0,,,,,
2007-05-01,PT,PPARAI11,PARAIMO,0,0,398.4,97.8,24.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPORTI11,PORTIMAO,0,0,402.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PBODIO11,BODIOSA,0,0,399.0,57.9,17.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPEDRA11,PEDRALVA,0,0,393.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PALQUE11,ALQUEVA,0,2,400.0,-81.2,8.1,0.4,105.7,360.0,-381.0,141.0,-181.0,,,,,
2007-05-01,PT,PLAGOA11,LAGOACA,0,0,400.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PTAVIR11,TAVIRA,0,2,402.0,0.0,0.0,-128.3,90.0,0.0,-200.0,90.0,-60.0,,,,,
2007-05-01,PT,PESTRE11,ESTREMOZ,0,0,404.6,0.7,5.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PR.PEN11,R.PENA,0,0,397.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PFUNDA11,FUNDAO,0,0,403.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPEDRA41,PEDRALVA,0,0,132.4,32.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PV.NOV31,V.NOVA,0,2,150.0,0.0,0.0,0.2,-17.0,0.0,-144.0,41.0,-51.0,,,,,
2007-05-01,PT,PC.SAL31,C.SALAMONDE,0,2,150.0,0.0,0.0,0.0,-15.6,0.0,-42.0,10.0,-28.0,,,,,
2007-05-01,PT,PCABRI31,CABRIL,0,2,150.0,0.0,0.0,0.0,0.3,0.0,-54.0,15.0,-30.0,,,,,
2007-05-01,PT,PBOUCA31,BOUCA,0,2,150.0,0.0,0.0,0.0,10.4,0.0,-22.0,12.0,-13.0,,,,,
2007-05-01,PT,PA.RAB31,A.RABAGAO,0,2,150.0,0.0,0.0,0.0,-2.9,62.0,-68.0,50.0,-44.0,,,,,
2007-05-01,PT,PC.TAB31,C.TABUACO,0,2,150.0,0.0,0.0,0.0,-0.9,0.0,-29.0,8.0,-24.0,,,,,
2007-05-01,PT,PV.FUR31,V.FURNAS,0,2,150.0,0.0,0.0,0.2,-28.5,80.0,-125.0,79.0,-71.0,,,,,
2007-05-01,PT,PFRATE31,FRATEL,0,2,150.0,0.0,0.0,0.1,1.7,0.0,-88.0,24.0,-26.0,,,,,
2007-05-01,PT,PC.FRA31,C.FRADES,0,2,150.0,0.0,0.0,0.3,-60.5,192.0,-192.0,92.0,-88.0,,,,,
2007-05-01,PT,PCD-RA31,CD-RA-FRD,0,0,149.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
