date,country,node1,node2,orderCode,phRegulU,phRegulN,phRegulNprime,U,angleRegulU,angleRegulD,angleRegulN,angleRegulNprime,angleRegulP,type
2007-05-01,NL,NCST381U,NCST381B,1,1.500,10,2,,,,,,,
2007-05-01,NL,NCST381U,NCRAYE33,1,,,,,,,,,,
2007-05-01,NL,NCST381U,NCST-512,1,,,,,,,,,,
2007-05-01,NL,NDIM381U,NDIM381B,1,1.500,10,3,,,,,,,
2007-05-01,NL,NDIM381U,NDIM153D,1,,,,,,,,,,
2007-05-01,NL,NDIM381U,NDIM-512,1,,,,,,,,,,
2007-05-01,NL,NDIM381V,NDIM381B,1,1.500,10,3,,,,,,,
2007-05-01,NL,NDIM381V,NDIM153G,1,,,,,,,,,,
2007-05-01,NL,NDIM381V,NDIM-513,1,,,,,,,,,,
2007-05-01,NL,NDTC381S,NDTC381B,1,1.500,10,3,,,,,,,
2007-05-01,NL,NDTC381S,NLGK153A,1,,,,,,,,,,
2007-05-01,NL,NDTC381S,NDTC-510,1,,,,,,,,,,
2007-05-01,NL,NEHV381U,NEHV381B,1,1.500,10,1,,,,,,,
2007-05-01,NL,NEHV381U,NEHVO 3B,1,,,,,,,,,,
2007-05-01,NL,NEHV381U,NEHV-512,1,,,,,,,,,,
2007-05-01,NL,NEHV381V,NEHV381B,1,1.500,10,1,,,,,,,
2007-05-01,NL,NEHV381V,NEHVO 3B,1,,,,,,,,,,
2007-05-01,NL,NEHV381V,NEHV-513,1,,,,,,,,,,
2007-05-01,NL,NENS381T,NENS381B,1,1.500,10,2,,,,,,,
2007-05-01,NL,NENS381T,NENS1150,1,,,,,,,,,,
2007-05-01,NL,NENS381T,NENS-514,1,,,,,,,,,,
2007-05-01,NL,NENS381V,NENS381B,1,1.500,10,3,,,,,,,
2007-05-01,NL,NENS381V,NENS222B,1,,,,,,,,,,
2007-05-01,NL,NENS381V,NENS-510,1,,,,,,,,,,
2007-05-01,NL,NGT3801T,NGT3801B,1,1.500,10,1,,,,,,,
2007-05-01,NL,NGT3801T,NGT1503C,1,,,,,,,,,,
2007-05-01,NL,NGT3801T,NGT--511,1,,,,,,,,,,
2007-05-01,NL,NHGL381T,NHGL381B,1,1.500,10,10,,,,,,,
2007-05-01,NL,NHGL381T,NHGLO 5B,1,,,,,,,,,,
2007-05-01,NL,NHGL381T,NHGL-511,1,,,,,,,,,,
2007-05-01,NL,NKIJ381S,NKIJ381B,1,1.500,10,4,,,,,,,
2007-05-01,NL,NKIJ381S,NKIJ153F,1,,,,,,,,,,
2007-05-01,NL,NKIJ381S,NKIJ-510,1,,,,,,,,,,
2007-05-01,NL,NKIJ381U,NKIJ381B,1,1.500,10,4,,,,,,,
2007-05-01,NL,NKIJ381U,NKIJ153F,1,,,,,,,,,,
2007-05-01,NL,NKIJ381U,NKIJ-512,1,,,,,,,,,,
